Letter,ID,P1,P2,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category,Time
AA,24605005.abf,-19.84445763,-18.6237545,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.41666667
AA,24605005.abf,-40.6847496,-22.98455429,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.5
AA,24605005.abf,-31.30461121,-23.37004089,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.58333333
AA,24605005.abf,-26.99199486,-39.80937576,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.66666667
AA,24605005.abf,-24.94410515,-34.09937668,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.75
AA,24605005.abf,-37.88195038,-29.94738197,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.83333333
AA,24605005.abf,-25.00835228,-53.08452225,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.91666667
AA,24605005.abf,-31.21627045,-38.5404892,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16
AA,24605005.abf,-39.48011017,-23.00061607,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.08333333
AA,24605005.abf,-52.20112228,-67.45990753,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.16666667
AA,24605005.abf,-26.98396301,-25.15290833,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.25
AA,24605005.abf,-57.59791183,-60.03931808,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.33333333
AA,24605005.abf,-24.32572174,-52.40189362,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.41666667
AA,24605005.abf,-31.61781693,-27.95570755,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.5
AA,24605005.abf,-36.13120651,-47.11753464,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.58333333
AA,24605005.abf,-28.06814003,-28.06814003,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.66666667
AA,24605005.abf,-23.73143196,-55.46971512,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.75
AA,24605005.abf,-22.02887344,-39.11871719,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.83333333
AA,24605005.abf,-55.72670364,-29.48158646,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,16.91666667
AA,24605005.abf,-21.45064545,-27.55416107,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17
AA,24605005.abf,-29.05594635,-32.10770416,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.08333333
AA,24605005.abf,-47.2861824,-26.53423119,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.16666667
AA,24605005.abf,-28.36528587,-19.21001244,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.25
AA,24605005.abf,-25.43399239,-30.31680489,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.33333333
AA,24605005.abf,-67.18685913,-22.63119316,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.41666667
AA,24605005.abf,-37.44828033,-28.90335846,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.5
AA,24605005.abf,-45.67196655,-28.5821209,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.58333333
AA,24605005.abf,-32.66183853,-39.37570572,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.66666667
AA,24605005.abf,-25.45005417,-19.95689011,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.75
AA,24605005.abf,-29.23262787,-23.73946381,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.83333333
AA,24605005.abf,-49.87214661,-47.43074036,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,17.91666667
AA,24605005.abf,-65.04259491,-17.43517494,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18
AA,24605005.abf,-24.19722748,-36.40425873,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.08333333
AA,24605005.abf,-24.29359818,-30.3971138,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.16666667
AA,24605005.abf,-75.04111481,-25.60264206,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.25
AA,24605005.abf,-23.68324661,-24.29359818,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.33333333
AA,24605005.abf,-42.79688644,-28.14845085,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.41666667
AA,24605005.abf,-29.64220619,-20.48693275,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.5
AA,24605005.abf,-19.96492004,-32.78230286,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,18.58333333
